epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.5444444417953491,0.5444444417953491,0.9533580541610718,1e-04,0.8233333826065063,0.3466666638851166,0.3466666638851166,1.384271502494812,0.7066667079925537
1,0.6177777647972107,0.6177777647972107,0.8326202630996704,1e-04,0.8877778053283691,0.5377777814865112,0.5377777814865112,0.9624574780464172,0.8266667127609253
2,0.6344444751739502,0.6344444751739502,0.8149054050445557,1e-04,0.897777795791626,0.5555555820465088,0.5555555820465088,0.9572686553001404,0.8666666746139526
3,0.6644444465637207,0.6644444465637207,0.7567679286003113,1e-04,0.9055556058883667,0.551111102104187,0.551111102104187,0.9936092495918274,0.8088889122009277
4,0.6655555963516235,0.6655555963516235,0.7518189549446106,1e-04,0.9155555963516235,0.6755555868148804,0.6755555868148804,0.7678101062774658,0.8844444751739502
5,0.7066667079925537,0.7066667079925537,0.663499653339386,1e-04,0.9288889169692993,0.6133333444595337,0.6133333444595337,0.8551025986671448,0.902222216129303
6,0.7255555987358093,0.7255555987358093,0.6358657479286194,1e-04,0.944444477558136,0.6044444441795349,0.6044444441795349,0.8685240745544434,0.897777795791626
7,0.7444444894790649,0.7444444894790649,0.6236989498138428,1e-04,0.9344444870948792,0.7111111283302307,0.7111111283302307,0.7262985706329346,0.9066666960716248
8,0.7388889193534851,0.7388889193534851,0.6114280223846436,1e-04,0.9433333277702332,0.6666666865348816,0.6666666865348816,0.7340383529663086,0.9155555963516235
9,0.7733333706855774,0.7733333706855774,0.5593274235725403,1e-04,0.9500000476837158,0.7155555486679077,0.7155555486679077,0.657666802406311,0.9288889169692993
10,0.7800000309944153,0.7800000309944153,0.5370275378227234,1e-04,0.9600000381469727,0.7200000286102295,0.7200000286102295,0.7605748176574707,0.9377778172492981
11,0.7811111211776733,0.7811111211776733,0.5663214921951294,1e-04,0.9433333277702332,0.6888889074325562,0.6888889074325562,0.7030324935913086,0.9333333373069763
