epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.6032986044883728,0.6032986044883728,0.8195608258247375,1e-04,0.8951389193534851,0.5226715803146362,0.5226715803146362,0.9562548995018005,0.8100490570068359
1,0.6144097447395325,0.6144097447395325,0.7948128581047058,1e-04,0.9050347208976746,0.49203434586524963,0.49203434586524963,1.024429440498352,0.8161764740943909
2,0.6225694417953491,0.6225694417953491,0.7792933583259583,1e-04,0.9097222685813904,0.49877452850341797,0.49877452850341797,1.038447618484497,0.810661792755127
3,0.6392361521720886,0.6392361521720886,0.7579444050788879,1e-04,0.9173611402511597,0.561274528503418,0.561274528503418,0.9848314523696899,0.8394607901573181
