epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.43804505467414856,0.43804505467414856,1.0353477001190186,1e-04,0.7696220874786377,0.4752906858921051,0.4752906858921051,1.0116227865219116,0.7892441749572754
1,0.47202035784721375,0.47202035784721375,1.0099072456359863,1e-04,0.7983284592628479,0.4869185984134674,0.4869185984134674,0.9923290014266968,0.8088662624359131
2,0.4738371968269348,0.4738371968269348,0.9971349835395813,1e-04,0.8075944781303406,0.5029069781303406,0.5029069781303406,0.9798307418823242,0.8270348906517029
3,0.48255813121795654,0.48255813121795654,0.9882410764694214,1e-04,0.8146802186965942,0.4970930218696594,0.4970930218696594,0.9826998710632324,0.8175871968269348
4,0.48473837971687317,0.48473837971687317,0.9892939329147339,1e-04,0.8081395030021667,0.4854651093482971,0.4854651093482971,0.9979920387268066,0.8125
5,0.494549423456192,0.494549423456192,0.9822918772697449,1e-04,0.8168604373931885,0.4767441749572754,0.4767441749572754,0.9923754930496216,0.8255813717842102
6,0.48528343439102173,0.48528343439102173,0.9826521873474121,1e-04,0.8166787624359131,0.48401162028312683,0.48401162028312683,1.0012515783309937,0.7994186282157898
7,0.4885537624359131,0.4885537624359131,0.9778042435646057,1e-04,0.8226743936538696,0.4883720874786377,0.4883720874786377,0.9981685876846313,0.8146802186965942
8,0.5018168687820435,0.5018168687820435,0.9633233547210693,1e-05,0.8304868936538696,0.5254360437393188,0.5254360437393188,0.9696611166000366,0.8343023061752319
9,0.5154433250427246,0.5154433250427246,0.958379864692688,1e-05,0.8352107405662537,0.489825576543808,0.489825576543808,0.9814239144325256,0.8081395030021667
10,0.5110828280448914,0.5110828280448914,0.9604061245918274,1e-05,0.8321220874786377,0.5130813717842102,0.5130813717842102,0.9705988168716431,0.8248546719551086
11,0.518713653087616,0.518713653087616,0.9593202471733093,1e-05,0.8344839811325073,0.5130813717842102,0.5130813717842102,0.9756484627723694,0.8313953280448914
12,0.5196220874786377,0.5196220874786377,0.9555699229240417,1e-05,0.831213653087616,0.5065407156944275,0.5065407156944275,0.9697514176368713,0.8263081312179565
13,0.5208938717842102,0.5208938717842102,0.9580472111701965,1e-05,0.8315770030021667,0.4970930218696594,0.4970930218696594,0.9871092438697815,0.8146802186965942
14,0.5152616500854492,0.5152616500854492,0.9600363373756409,1e-06,0.8244912624359131,0.5101743936538696,0.5101743936538696,0.9704023003578186,0.8306686282157898
