epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.4518531858921051,0.4518531858921051,1.0362519025802612,1e-04,0.7792514562606812,0.43822672963142395,0.43822672963142395,1.0710980892181396,0.7856104373931885
1,0.47965115308761597,0.47965115308761597,1.0046544075012207,1e-04,0.8086845874786377,0.4723837077617645,0.4723837077617645,0.9882580637931824,0.7994186282157898
2,0.4792878031730652,0.4792878031730652,0.9984119534492493,1e-04,0.8068677186965942,0.46802324056625366,0.46802324056625366,1.002022624015808,0.8037790656089783
3,0.48891714215278625,0.48891714215278625,0.9873920679092407,1e-04,0.8099563717842102,0.48619186878204346,0.48619186878204346,0.9956336617469788,0.8045058250427246
4,0.4910973906517029,0.4910973906517029,0.9816367626190186,1e-04,0.8221293687820435,0.4920058250427246,0.4920058250427246,0.975250244140625,0.8212209343910217
5,0.4885537624359131,0.4885537624359131,0.98636794090271,1e-04,0.8188589811325073,0.5094476938247681,0.5094476938247681,0.9745411276817322,0.8284883499145508
6,0.49273255467414856,0.49273255467414856,0.9803545475006104,1e-04,0.8181322813034058,0.47601744532585144,0.47601744532585144,0.9863899350166321,0.8095930218696594
7,0.5001816749572754,0.5001816749572754,0.9716680645942688,1e-04,0.8257631063461304,0.4970930218696594,0.4970930218696594,0.9634852409362793,0.8146802186965942
8,0.5036337375640869,0.5036337375640869,0.9709041714668274,1e-04,0.8264898061752319,0.4970930218696594,0.4970930218696594,0.9717609286308289,0.8161337375640869
9,0.5034520626068115,0.5034520626068115,0.9727173447608948,1e-04,0.8266714811325073,0.4949128031730652,0.4949128031730652,0.9793065786361694,0.8139534592628479
10,0.49818313121795654,0.49818313121795654,0.9687053561210632,1e-04,0.8246729373931885,0.4985465109348297,0.4985465109348297,0.9730480909347534,0.8175871968269348
11,0.497638076543808,0.497638076543808,0.9691341519355774,1e-04,0.8292151093482971,0.4883720874786377,0.4883720874786377,0.9728277325630188,0.8190407156944275
12,0.5081758499145508,0.5081758499145508,0.9666263461112976,1e-04,0.8237645030021667,0.4520348906517029,0.4520348906517029,1.0365016460418701,0.7834302186965942
13,0.5183503031730652,0.5183503031730652,0.9586218595504761,1e-05,0.8308503031730652,0.5116279125213623,0.5116279125213623,0.9523704648017883,0.819767415523529
14,0.5236191749572754,0.5236191749572754,0.9541231393814087,1e-05,0.8373909592628479,0.5087209343910217,0.5087209343910217,0.9590945243835449,0.8154069781303406
