epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.4543968141078949,0.4543968141078949,1.0296076536178589,1e-04,0.7796148061752319,0.45639535784721375,0.45639535784721375,1.021170973777771,0.8030523061752319
1,0.4794694781303406,0.4794694781303406,1.0015015602111816,1e-04,0.8005087375640869,0.4593023359775543,0.4593023359775543,1.0504705905914307,0.7718023061752319
2,0.4801962077617645,0.4801962077617645,0.9901863932609558,1e-04,0.8134084343910217,0.4883720874786377,0.4883720874786377,1.00089693069458,0.8023256063461304
3,0.4872819781303406,0.4872819781303406,0.9872221946716309,1e-04,0.8161337375640869,0.4970930218696594,0.4970930218696594,0.9764233231544495,0.8299418687820435
4,0.49291422963142395,0.49291422963142395,0.9823822379112244,1e-04,0.8092296719551086,0.5101743936538696,0.5101743936538696,1.0074931383132935,0.7986918687820435
5,0.4963662624359131,0.4963662624359131,0.976378858089447,1e-04,0.8201308250427246,0.4702034890651703,0.4702034890651703,0.9873315691947937,0.8132267594337463
6,0.5003633499145508,0.5003633499145508,0.9710323214530945,1e-04,0.8224927186965942,0.4934593141078949,0.4934593141078949,0.986221194267273,0.8103197813034058
7,0.49945494532585144,0.49945494532585144,0.97384113073349,1e-04,0.8266714811325073,0.4970930218696594,0.4970930218696594,0.9758629202842712,0.8204941749572754
8,0.500545084476471,0.500545084476471,0.9717795848846436,1e-04,0.815588653087616,0.48619186878204346,0.48619186878204346,0.989471435546875,0.8132267594337463
9,0.49291422963142395,0.49291422963142395,0.9780749082565308,1e-04,0.8175871968269348,0.5145348906517029,0.5145348906517029,0.9740515351295471,0.8321220874786377
10,0.5056322813034058,0.5056322813034058,0.9663167595863342,1e-04,0.819767415523529,0.5029069781303406,0.5029069781303406,0.9810080528259277,0.8255813717842102
11,0.497638076543808,0.497638076543808,0.9735732078552246,1e-04,0.8184956312179565,0.510901153087616,0.510901153087616,0.9795123934745789,0.8132267594337463
12,0.5076308250427246,0.5076308250427246,0.963289737701416,1e-04,0.8277616500854492,0.507267415523529,0.507267415523529,0.9720275402069092,0.8263081312179565
13,0.49654796719551086,0.49654796719551086,0.9660613536834717,1e-04,0.8244912624359131,0.4883720874786377,0.4883720874786377,0.9934210777282715,0.8146802186965942
14,0.5025436282157898,0.5025436282157898,0.965694785118103,1e-04,0.8252180218696594,0.510901153087616,0.510901153087616,0.9703155159950256,0.8241279125213623
