epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.4411337077617645,0.4411337077617645,1.034345269203186,1e-04,0.7741642594337463,0.47965115308761597,0.47965115308761597,0.9851945638656616,0.8095930218696594
1,0.4792878031730652,0.4792878031730652,1.0045067071914673,1e-04,0.8035973906517029,0.4607558250427246,0.4607558250427246,1.0096173286437988,0.7906976938247681
2,0.47856104373931885,0.47856104373931885,0.9993332028388977,1e-04,0.8019621968269348,0.4985465109348297,0.4985465109348297,1.0011072158813477,0.7957848906517029
3,0.4827398359775543,0.4827398359775543,0.9910861253738403,1e-04,0.807776153087616,0.5,0.5,0.9690579175949097,0.8226743936538696
4,0.49127906560897827,0.49127906560897827,0.9912007451057434,1e-04,0.8099563717842102,0.4818314015865326,0.4818314015865326,0.9750767946243286,0.8154069781303406
5,0.4821947515010834,0.4821947515010834,0.9892398118972778,1e-04,0.807776153087616,0.4934593141078949,0.4934593141078949,0.9678670167922974,0.8350290656089783
6,0.4872819781303406,0.4872819781303406,0.9802311658859253,1e-04,0.8157703280448914,0.5167151093482971,0.5167151093482971,0.956427812576294,0.8422964811325073
7,0.49927324056625366,0.49927324056625366,0.9801708459854126,1e-04,0.8221293687820435,0.4978197515010834,0.4978197515010834,0.9705840945243835,0.8335756063461304
8,0.49182412028312683,0.49182412028312683,0.977022647857666,1e-04,0.8179506063461304,0.5043604373931885,0.5043604373931885,0.954134464263916,0.8386628031730652
9,0.5036337375640869,0.5036337375640869,0.9732185006141663,1e-04,0.8223110437393188,0.47601744532585144,0.47601744532585144,0.9823130965232849,0.8226743936538696
10,0.5038154125213623,0.5038154125213623,0.9738271832466125,1e-04,0.8310319781303406,0.5218023061752319,0.5218023061752319,0.9423506259918213,0.8372092843055725
11,0.5019985437393188,0.5019985437393188,0.9719516634941101,1e-04,0.8221293687820435,0.49927324056625366,0.49927324056625366,0.9577455520629883,0.8270348906517029
12,0.494549423456192,0.494549423456192,0.9693657755851746,1e-04,0.8221293687820435,0.507267415523529,0.507267415523529,0.9476295113563538,0.8459302186965942
13,0.504723846912384,0.504723846912384,0.9734806418418884,1e-04,0.8284883499145508,0.4934593141078949,0.4934593141078949,0.9599035382270813,0.8306686282157898
14,0.515079915523529,0.515079915523529,0.9614759087562561,1e-04,0.8310319781303406,0.5,0.5,0.9697556495666504,0.8045058250427246
